iter	RMSE
0	0.6745395187
1	0.5830332399
2	0.5362912853
3	0.5116477926
4	0.4948002894
5	0.483420474
6	0.4752064701
7	0.4695549337
8	0.4652379236
9	0.4616829859
10	0.4592072544
11	0.4571687487
12	0.4557976784
13	0.4541934103
14	0.4525512827
15	0.45126314
16	0.4372905208
17	0.4363743455
18	0.435554596
19	0.434872301
20	0.4340692424
21	0.4334655159
22	0.4327106917
23	0.4321082499
24	0.4313801163
25	0.4306951348
26	0.4300166505
27	0.4294376045
28	0.4204553998
29	0.4198378177
30	0.4192574461
31	0.4187061889
32	0.4180951145
33	0.4176632277
34	0.4170252032
35	0.4164220281
36	0.4159773631
37	0.4154527282
38	0.4148929847
39	0.414477127
40	0.4139612856
41	0.4133927403
42	0.4127160161
43	0.4122020237
44	0.4118769666
45	0.4114099118
46	0.4111008809
47	0.4107164732
48	0.4102740245
49	0.4099375629
50	0.4096623692
51	0.4091388864
52	0.4085219507
53	0.4082154713
54	0.4076153272
55	0.4071926107
56	0.40678131
57	0.4063774523
58	0.4060290134
59	0.4055989791
60	0.4052669393
61	0.4047564211
62	0.4042688433
63	0.4039247081
64	0.4034161212
65	0.4030494554
66	0.4024650607
67	0.3937105401
68	0.3932058142
69	0.3928626063
70	0.3924687982
71	0.3815600358
72	0.3811185294
73	0.3806832756
74	0.3804034252
75	0.3799494994
76	0.3796038947
77	0.3792179308
78	0.3788400634
79	0.378482455
80	0.373510312
81	0.3731899839
82	0.3727110685
83	0.3722710131
84	0.3718126792
85	0.3621101814
86	0.3614624908
87	0.3612436727
88	0.3606967476
89	0.3602777467
90	0.3599204921
91	0.3596063501
92	0.3592539903
93	0.3588626698
94	0.3585225325
95	0.3582003528
96	0.3578103885
97	0.3574251469
98	0.3570220468
99	0.3566408236
100	0.3563642015
101	0.3560042473
102	0.3555926443
103	0.3552524865
104	0.3548517679
105	0.3543881541
106	0.3540190734
107	0.3536085399
108	0.3533724524
109	0.3528256783
110	0.3403076273
111	0.339927073
112	0.3393846642
113	0.3391195293
114	0.3386222539
115	0.338222658
116	0.3378977725
117	0.3374363779
118	0.3371263334
119	0.33660905
120	0.3363028677
121	0.3358922539
122	0.3355455492
123	0.3352743963
124	0.3349119894
125	0.3346184923
126	0.3343375989
127	0.3340323886
128	0.3335794033
129	0.333170553
130	0.3328777772
131	0.3325018861
132	0.3319974348
133	0.3317332319
134	0.3257699791
135	0.3219630568
136	0.321634065
137	0.3212198105
138	0.3209110809
139	0.3205452883
140	0.316093759
141	0.3157309136
142	0.3154168781
143	0.3151708799
144	0.3147739004
145	0.3144863151
146	0.3142149175
147	0.3138977392
148	0.3134069089
149	0.3132601278
