iter	Passed	Remaining
0	56	8404
1	65	4826
2	73	3596
3	81	2984
4	90	2630
5	99	2376
6	107	2190
7	116	2060
8	124	1950
9	132	1859
10	141	1783
11	149	1717
12	157	1661
13	165	1609
14	174	1568
15	182	1530
16	191	1498
17	200	1467
18	208	1438
19	217	1410
20	225	1385
21	234	1363
22	243	1342
23	252	1323
24	261	1305
25	269	1287
26	279	1272
27	288	1257
28	297	1241
29	307	1228
30	316	1215
31	326	1205
32	336	1191
33	345	1179
34	354	1165
35	363	1150
36	371	1134
37	379	1118
38	387	1103
39	397	1094
40	407	1082
41	416	1072
42	429	1068
43	438	1057
44	448	1046
45	459	1039
46	472	1035
47	481	1023
48	491	1013
49	501	1003
50	511	992
51	521	982
52	531	973
53	541	962
54	552	954
55	562	943
56	572	934
57	582	923
58	591	912
59	601	902
60	611	892
61	621	882
62	632	873
63	642	863
64	652	853
65	663	844
66	673	834
67	686	827
68	696	817
69	706	807
70	715	796
71	727	788
72	739	779
73	749	769
74	758	758
75	768	747
76	779	738
77	792	731
78	801	720
79	812	710
80	822	700
81	831	689
82	842	680
83	852	669
84	861	659
85	874	650
86	886	641
87	895	630
88	906	621
89	916	611
90	928	602
91	943	594
92	953	584
93	963	574
94	975	564
95	984	554
96	994	543
97	1005	533
98	1015	523
99	1026	513
100	1036	502
101	1046	492
102	1056	481
103	1065	471
104	1075	460
105	1087	451
106	1098	441
107	1109	431
108	1119	421
109	1134	412
110	1146	402
111	1159	393
112	1171	383
113	1181	373
114	1193	363
115	1203	352
116	1214	342
117	1225	332
118	1236	322
119	1247	311
120	1258	301
121	1270	291
122	1281	281
123	1294	271
124	1305	261
125	1315	250
126	1325	240
127	1336	229
128	1347	219
129	1358	209
130	1369	198
131	1381	188
132	1392	177
133	1402	167
134	1413	157
135	1425	146
136	1438	136
137	1450	126
138	1460	115
139	1471	105
140	1482	94
141	1494	84
142	1504	73
143	1514	63
144	1524	52
145	1534	42
146	1544	31
147	1554	21
148	1565	10
149	1574	0
